Level_Stress,Level_Light,area
Control,Low,264
Control,Low,200
Control,Low,225
Control,Low,268
Control,Low,215
Control,Low,241
Control,Low,232
Control,Low,256
Control,Low,229
Control,Low,288
Control,Low,253
Control,Low,288
Control,Low,230
Stress,Low,235
Stress,Low,188
Stress,Low,195
Stress,Low,205
Stress,Low,212
Stress,Low,214
Stress,Low,182
Stress,Low,215
Stress,Low,272
Stress,Low,163
Stress,Low,230
Stress,Low,255
Stress,Low,202
Control,Moderate,314
Control,Moderate,320
Control,Moderate,310
Control,Moderate,340
Control,Moderate,299
Control,Moderate,268
Control,Moderate,345
Control,Moderate,271
Control,Moderate,285
Control,Moderate,309
Control,Moderate,337
Control,Moderate,282
Control,Moderate,273
Stress,Moderate,283
Stress,Moderate,312
Stress,Moderate,291
Stress,Moderate,259
Stress,Moderate,216
Stress,Moderate,201
Stress,Moderate,267
Stress,Moderate,326
Stress,Moderate,241
Stress,Moderate,291
Stress,Moderate,269
Stress,Moderate,282
Stress,Moderate,257
,,
