stress_level,concentration
no stress,8.5
no stress,7.2
no stress,6.8
no stress,9.2
no stress,5.1
no stress,8.5
no stress,3.3
no stress,4.9
no stress,4.8
no stress,6.5
no stress,8.7
no stress,6.4
mild stress,6.5
mild stress,7.2
mild stress,3.8
mild stress,7.1
mild stress,2.1
mild stress,4.5
mild stress,3.3
mild stress,2.8
mild stress,4.9
mild stress,4.5
mild stress,6.7
mild stress,3.8
moderate stress,4.5
moderate stress,3.2
moderate stress,6.8
moderate stress,1.8
moderate stress,3
moderate stress,4.1
moderate stress,3
moderate stress,2
moderate stress,4.1
moderate stress,2.5
moderate stress,6.7
moderate stress,5.8
high stress,1.2
high stress,1.8
high stress,3.8
high stress,7.1
high stress,2
high stress,3.5
high stress,1.3
high stress,1.1
high stress,1.9
high stress,0.8
high stress,0.9
high stress,1.2
