Treatment,weight
Nematodes,12.5
Nematodes,13
Nematodes,12
Nematodes,10
Nematodes,12.5
Nematodes,14.5
Nematodes,10.5
Nematodes,10
Nematodes,10.5
Nematodes,10.5
Nematodes,13
Nematodes,13.5
Nematodes,12
Wasps,11
Wasps,15
Wasps,12.5
Wasps,13
Wasps,11.5
Wasps,11
Wasps,9
Wasps,10
Wasps,10.5
Wasps,16
Wasps,12.5
Wasps,15.5
N and W,16.5
N and W,15
N and W,11.5
N and W,12
N and W,12.5
N and W,12
N and W,16
N and W,16.5
N and W,18
N and W,14.5
N and W,14
N and W,10.5
N and W,15.5
Bacteria,6
Bacteria,5.5
Bacteria,8
Bacteria,9
Bacteria,8.5
Bacteria,7
Bacteria,6.5
Bacteria,9
Bacteria,9
Bacteria,9
Bacteria,6.5
Bacteria,8.5
Bacteria,10
Control,8.5
Control,7
Control,9
Control,9
Control,12
Control,8
Control,6
Control,9.5
Control,7.5
Control,8
Control,9.5
Control,7
