Condition,bmd
RA,11.091
RA,24.414
RA,10.025
RA,-3.156
RA,6.835
RA,3.321
RA,1.493
RA,7.412
RA,5.559
RA,4.761
RA,-3.527
RA,4.839
RA,1.85
RA,-3.933
RA,-1.864
RA,5.386
RA,3.868
RA,6.209
RA,-5.64
RA,3.514
RA,-2.308
RA,15.981
RA,-9.646
RA,5.188
RA,-1.892
RA,16.553
RA,9.669
RA,4.659
RA,1.137
RA,7.521
RA,0.073
RA,-8.684
RA,-0.372
RA,21.311
RA,10.831
RA,3.351
RA,9.557
Lupus,2.961
Lupus,0.293
Lupus,8.394
Lupus,2.832
Lupus,-1.369
Lupus,11.288
Lupus,3.997
Lupus,7.26
Lupus,5.546
PMRTA,-3.669
PMRTA,-7.816
PMRTA,4.563
PMRTA,-0.093
PMRTA,-0.185
PMRTA,1.302
PMRTA,5.299
PMRTA,10.734
PMRTA,1.399
PMRTA,0.497
PMRTA,0.582
PMRTA,3.95
PMRTA,0.674
PMRTA,9.354
PMRTA,2.61
PMRTA,5.682
OA,11.146
OA,-0.838
OA,4.082
OA,6.645
OA,4.329
OA,1.234
OA,-2.817
OA,3.544
OA,4.16
OA,1.16
OA,-0.247
OA,5.372
OA,6.721
OA,9.95
OA,10.82
OA,7.28
OA,6.605
OA,7.507
OA,5.075
OA,0.163
OA,12.767
OA,3.481
OA,0.917
OA,15.853
O,2.937
O,15.968
O,5.349
O,1.719
O,6.445
O,20.243
O,3.29
O,8.992
O,6.12
O,25.655
