Ion_Type,Dose,percent_to_glutamate
Negative,1.3,73.61
Negative,1.3,90.69
Negative,1.3,88.01
Negative,1.3,90.3
Positive,1.3,107.11
Positive,1.3,114.26
Positive,1.3,120.26
Positive,1.3,102.39
Neutral,1.3,52.53
Neutral,1.3,63.28
Neutral,1.3,83.69
Neutral,1.3,92.41
Negative,4.5,26.95
Negative,4.5,53.23
Negative,4.5,59.57
Negative,4.5,53.23
Positive,4.5,28.51
Positive,4.5,30.64
Positive,4.5,44.37
Positive,4.5,36.23
Neutral,4.5,-6.38
Neutral,4.5,-21.97
Neutral,4.5,14.28
Neutral,4.5,0.29
Negative,13.5,-35.8
Negative,13.5,-7.93
Negative,13.5,-19.08
Negative,13.5,5.36
Positive,13.5,78.83
Positive,13.5,25.14
Positive,13.5,20.16
Positive,13.5,34.65
Neutral,13.5,187.42
Neutral,13.5,148.34
Neutral,13.5,197.43
Neutral,13.5,201.11
